Order Number,Item,Substitution,Substituting,Price,Quantity,Unit Price
12345678910,ASDA Simply Cook Smoked Crispy Bacon 60g,1,1 X ASDA Diced Pancetta Twin Pack 160g,1.3,1,1.3
12345678910,ASDA 2 Crisp Crumb Chunky Cod Fillets 350g,1,1 X Young's 6 Chunky Fish Fillets in Crispy Breadcrumbs 690g,3.2,1,3.2
12345678910,Yeo Valley Strawberry Yogurt 450g,1,1 X Arla Skyr Strawberry Yogurt 450g,1.4,1,1.4
12345678910,ASDA 18 Battered Chicken Breast Chunks 350g,1,1 X ASDA Crispy Chicken Breast Strips 400g,2.5,1,2.5
12345678910,New York Bakery Co The Original Plain Bagels 5pk,1,1 X ASDA Plain Bagels 4pk,0.69,1,0.69
12345678910,ASDA Creamy Tomato Pasta Bake 500g,1,1 X ASDA Tomato and Bacon Pasta Bake 480g,0.75,1,0.75
12345678910,ASDA Butcher's Selection 8 Pork Loin Steaks 800g,1,1 X ASDA Butcher's Selection Pork Boneless & Rindless Loin Joint 700g,3.9,1,3.9
12345678910,ASDA GS Honeydew Melon EACH,1,1 X ASDA Grower's Selection Cantaloupe Melon each,1.69,1,1.69
12345678910,ASDA Mexican Style Plain Tortillas 8pk,1,1 X ASDA 10 Mini Plain Tortillas 300g,1.0,1,1.0
12345678910,ASDA Butcher's Selection Beef Mince (Typically Less Than 20% Fat) 500g,0,,1.59,1,1.59
12345678910,ASDA Butcher's Selection Prime Beef Ribeye Steak 227g,0,,6.5,2,3.25
12345678910,ASDA Butcher's Selection Lean Beef Mince (Typically Less Than 5% Fat) 500g,0,,2.97,1,2.97
12345678910,ASDA Grower's Selection Carrots 500g,0,,0.33,1,0.33
12345678910,ASDA Crispy Potato Slices 300g,0,,0.85,1,0.85
12345678910,ASDA Butcher's Selection Chicken Breast Fillets 1kg,0,,5.19,1,5.19
12345678910,Cadbury Pots of Joy Dairy Milk Chocolate Dessert 4x65g,0,,2.0,2,1.0
12345678910,ASDA Thick Dry Cured Honey Roast Ham Slices 150g,0,,1.9,1,1.9
12345678910,ASDA Simple to Cook Bourbon Beef Brisket 400g,0,,3.9,1,3.9
12345678910,Arla Skyr Vanilla Yogurt 450g,0,,1.4,1,1.4
12345678910,ASDA Grated Mozzarella Cheese 250g,0,,1.75,1,1.75
12345678910,ASDA Butcher's Selection Diced Beef 475g,0,,3.8,1,3.8
12345678910,ASDA Grated Four Cheese Blend 200g,0,,1.75,1,1.75
12345678910,ASDA Farm Stores White Potatoes 2kg,0,,1.0,1,1.0
12345678910,Aunt Bessie's 10 Dumplings 490g,0,,1.0,1,1.0
12345678910,Richmond 20 Thick Frozen Pork Sausages 907g,0,,2.5,1,2.5
12345678910,ASDA 4 Buttermilk Chicken Breast Fillet Burgers 400g,0,,2.5,1,2.5
12345678910,Maltesers Bunnies Large Chocolate Easter Egg 265g,0,,4.0,1,4.0
12345678910,Cadbury Dairy Milk Caramel Gift Boxed Giant Easter Egg 311g,0,,4.0,1,4.0
12345678910,ASDA No Added Sugar Apple & Blackcurrant Squash 1.5l,0,,0.95,1,0.95
12345678910,Pepsi Max Raspberry Cans 8x330,0,,3.75,1,3.75
12345678910,Pepsi Max Cherry Cans 8x330,0,,3.75,1,3.75
12345678910,ASDA Butter Chicken Curry Sauce 495g,0,,0.79,1,0.79
12345678910,ASDA Grower's Selection Baby Potatoes 1kg,0,,0.8,1,0.8
12345678910,ASDA Mint Sauce 280g,0,,0.83,1,0.83
12345678910,Weetabix Crispy Minis Chocolate Chip 600g,0,,2.98,1,2.98
12345678910,ASDA Bolognese Pasta Sauce 720g,0,,0.84,1,0.84
12345678910,Patak's Korma Curry Sauce 450g,0,,1.0,1,1.0
12345678910,ASDA Taco Seasoning 35g,0,,1.24,2,0.62
12345678910,ASDA Taco Shells 150g,0,,1.3,1,1.3
12345678910,ASDA Jam & Creams 150g,0,,0.45,1,0.45
12345678910,ASDA Extra Special Hand Finished Salted Caramel & Chocolate Cake each,0,,1.85,1,1.85
12345678910,Kellogg's Coco Pops 480g,0,,2.89,1,2.89
