order_number,item,substitution,substituting,price,quantity,unit_price
012345678910,ASDA Simply Cook Smoked Crispy Bacon 60g,True,ASDA Diced Pancetta Twin Pack 160g,1.3,1,1.2999999523162842
012345678910,ASDA 2 Crisp Crumb Chunky Cod Fillets 350g,True,Young's 6 Chunky Fish Fillets in Crispy Breadcrumbs 690g,3.2,1,3.200000047683716
012345678910,Yeo Valley Strawberry Yogurt 450g,True,Arla Skyr Strawberry Yogurt 450g,1.4,1,1.399999976158142
012345678910,ASDA 18 Battered Chicken Breast Chunks 350g,True,ASDA Crispy Chicken Breast Strips 400g,2.5,1,2.5
012345678910,New York Bakery Co The Original Plain Bagels 5pk,True,ASDA Plain Bagels 4pk,0.69,1,0.6899999976158142
012345678910,ASDA Creamy Tomato Pasta Bake 500g,True,ASDA Tomato and Bacon Pasta Bake 480g,0.75,1,0.75
012345678910,ASDA Butcher's Selection 8 Pork Loin Steaks 800g,True,ASDA Butcher's Selection Pork Boneless & Rindless Loin Joint 700g,3.9,1,3.9000000953674316
012345678910,ASDA GS Honeydew Melon EACH,True,ASDA Grower's Selection Cantaloupe Melon each,1.69,1,1.690000057220459
012345678910,ASDA Mexican Style Plain Tortillas 8pk,True,ASDA 10 Mini Plain Tortillas 300g,1.0,1,1.0
012345678910,ASDA Butcher's Selection Beef Mince (Typically Less Than 20% Fat) 500g,False,None,1.59,1,1.590000033378601
012345678910,ASDA Butcher's Selection Prime Beef Ribeye Steak 227g,False,None,6.5,2,3.25
012345678910,ASDA Butcher's Selection Lean Beef Mince (Typically Less Than 5% Fat) 500g,False,None,2.97,1,2.9700000286102295
012345678910,ASDA Grower's Selection Carrots 500g,False,None,0.33,1,0.33000001311302185
012345678910,ASDA Crispy Potato Slices 300g,False,None,0.85,1,0.8500000238418579
012345678910,ASDA Butcher's Selection Chicken Breast Fillets 1kg,False,None,5.19,1,5.190000057220459
012345678910,Cadbury Pots of Joy Dairy Milk Chocolate Dessert 4x65g,False,None,2.0,2,1.0
012345678910,ASDA Thick Dry Cured Honey Roast Ham Slices 150g,False,None,1.9,1,1.899999976158142
012345678910,ASDA Simple to Cook Bourbon Beef Brisket 400g,False,None,3.9,1,3.9000000953674316
012345678910,Arla Skyr Vanilla Yogurt 450g,False,None,1.4,1,1.399999976158142
012345678910,ASDA Grated Mozzarella Cheese 250g,False,None,1.75,1,1.75
012345678910,ASDA Butcher's Selection Diced Beef 475g,False,None,3.8,1,3.799999952316284
012345678910,ASDA Grated Four Cheese Blend 200g,False,None,1.75,1,1.75
012345678910,ASDA Farm Stores White Potatoes 2kg,False,None,1.0,1,1.0
012345678910,Aunt Bessie's 10 Dumplings 490g,False,None,1.0,1,1.0
012345678910,Richmond 20 Thick Frozen Pork Sausages 907g,False,None,2.5,1,2.5
012345678910,ASDA 4 Buttermilk Chicken Breast Fillet Burgers 400g,False,None,2.5,1,2.5
012345678910,Maltesers Bunnies Large Chocolate Easter Egg 265g,False,None,4.0,1,4.0
012345678910,Cadbury Dairy Milk Caramel Gift Boxed Giant Easter Egg 311g,False,None,4.0,1,4.0
012345678910,ASDA No Added Sugar Apple & Blackcurrant Squash 1.5l,False,None,0.95,1,0.949999988079071
012345678910,Pepsi Max Raspberry Cans 8x330,False,None,3.75,1,3.75
012345678910,Pepsi Max Cherry Cans 8x330,False,None,3.75,1,3.75
012345678910,ASDA Butter Chicken Curry Sauce 495g,False,None,0.79,1,0.7900000214576721
012345678910,ASDA Grower's Selection Baby Potatoes 1kg,False,None,0.8,1,0.800000011920929
012345678910,ASDA Mint Sauce 280g,False,None,0.83,1,0.8299999833106995
012345678910,Weetabix Crispy Minis Chocolate Chip 600g,False,None,2.98,1,2.9800000190734863
012345678910,ASDA Bolognese Pasta Sauce 720g,False,None,0.84,1,0.8399999737739563
012345678910,Patak's Korma Curry Sauce 450g,False,None,1.0,1,1.0
012345678910,ASDA Taco Seasoning 35g,False,None,1.24,2,0.6200000047683716
012345678910,ASDA Taco Shells 150g,False,None,1.3,1,1.2999999523162842
012345678910,ASDA Jam & Creams 150g,False,None,0.45,1,0.44999998807907104
012345678910,ASDA Extra Special Hand Finished Salted Caramel & Chocolate Cake each,False,None,1.85,1,1.850000023841858
012345678910,Kellogg's Coco Pops 480g,False,None,2.89,1,2.890000104904175
